Title,Year,Released,Genre,Director,Actors,Plot,Language,Country,IMDB Rating
Sharmajee Ki Beti,2024,28-Jun-24,"Comedy, Drama",Tahira Kashyap Khurrana,"Sakshi Tanwar, Divya Dutta, Saiyami Kher","Multi-generational ensemble about the modern, middle-class female experience and the lives of urban women, all with the common surname of Sharma.",Hindi,India,7.6
Kooki,2024,,Drama,Pranab J Deka,"Ritisha Khaund, Rajesh Tailang, Dipannita Sharma","A 16-year-old girl Kooki's beautiful present life and dreamy future are destroyed by a gang rape, and after the incident, the court's verdict against the culprits makes her feel betrayed and not served justice as a victim.",Hindi,India,
Kill Me If You Dare,2024,13-Feb-24,"Comedy, Romance",Filip Zylber,"Weronika Ksiazkiewicz, Mateusz Banasiuk, Agnieszka Wiedlocha",A winning lottery ticket has grave consequences for a married couple when they start hatching plans to kill each other for the prize money.,Polish,Poland,4.6
Wild Wild Punjab,2024,10-Jul-24,"Comedy, Romance",Simarpreet Singh,"Varun Sharma, Sunny Singh, Jassie Gill","Khanna has had a breakup. He's upset, but he has friends like Arora, Jain and Honey paa'ji who encourage him to face this breakup head-on and move on. They embark on a trip across Punjab to help Khanna find the closure he desires.",Hindi,India,6.3
Sarfira,2024,12-Jul-24,Drama,Sudha Kongara,"Akshay Kumar, Paresh Rawal, Radhika Madan","A man fights to make his dream of creating a low cost airline a reality, facing opposition from devious competitive airline owners who threaten his business and his passengers' safety.",Hindi,India,7.9
Kakuda,2024,12-Jul-24,"Comedy, Horror",Aditya Sarpotdar,"Riteish Deshmukh, Sonakshi Sinha, Saqib Saleem","This horror-comedy film follows a town trapped in time by a curse and 3 of its inhabitants face a ghost that makes them question superstition, tradition and love.",Hindi,India,5.3
Bad Newz,2024,19-Jul-24,"Comedy, Romance",Anand Tiwari,"Vicky Kaushal, Triptii Dimri, Ammy Virk","A crazy laugh riot which will show the outcomes of two sophisticated Punjabi men and a Punjabi girl. One of the men has a one night stand with the girl and somehow, craziness happens when she is pregnant unexpectedly.",Hindi,India,5.3
Accident or Conspiracy: Godhra,2024,19-Jul-24,"Crime, Drama, History",M.K. Shivaaksh,"Ranvir Shorey, Manoj Joshi, Hitu Kanodia","Based on the Godhra train burning incident and riots in 2002, focusing on the Nanavati commission enquiry and report.",Hindi,India,8
Bloody Ishq,2024,26-Jul-24,Horror,"Vikram Bhatt, Manish .P. Chavan","Avika Gor, Vardhaan Puri, Jeniffer Piccinato","After a memory-erasing accident, Neha seeks refuge on a secluded Scottish island, unaware her husband conceals a terrifying secret that threatens their new life.",,India,3
Auron Mein Kahan Dum Tha,2024,02-Aug-24,"Action, Crime, Drama",Neeraj Pandey,"Ajay Devgn, Tabu, Jimmy Shergill","After 20 years in prison, a man reunites with his lost love and the truth behind his crimes is revealed.",Hindi,India,7.4
Ulajh,2024,02-Aug-24,Thriller,Sudhanshu Saria,"Janhvi Kapoor, Gulshan Devaiah, Adil Hussain","The journey of a young IFS officer, belonging to a prominent family of patriots, who gets embroiled in a dangerous personal conspiracy while far from her home turf, at a career-defining post.",Hindi,India,7.4
