Title,Year,Released,Genre,Director,Actors,Plot,Language,Country,IMDB Rating
Missing,2018,06-Apr-18,"Drama, Mystery, Thriller",Mukul Abhyankar,"Manoj Bajpayee, Tabu, Annu Kapoor","Sushant Dubey checks in at a beach resort of Mauritius late night with his lovely wife Aparna and three-year-old daughter, Titli, who has high fever. As Aparna wakes up the next morning, she is horrified to find Titli missing. The distressed couple goes from pillar to post in a vastly spread resort to search for her, but Titli seems to have disappeared. The police is informed and the most reputed police officer Ramkhilawan Buddu of the Mauritian police force enters the scene. Different people, different viewpoints, different versions about the child going missing turns into a cat and mouse game.",Hindi,India,5.8
October,2018,13-Apr-18,"Drama, Romance",Shoojit Sircar,"Varun Dhawan, Banita Sandhu, Gitanjali Rao","Dan (Varun Dhawan) is living the life of any carefree 21 year old, revolving around a bunch of friends and fellow hotel interns who feed off each other's everyday moments, their ups and downs. Shiuli (Banita Sandhu) is one such intern at the same hotel, who at times is at a receiving end of Dan's audaciousness. Life goes on until a sudden turn of events smashes Dan and Shiuli's lives together, into a bond that's unlike any 21 year olds. The emotional connection between them goes through a metamorphoses that brings out a form of love that's unlike any other eventually leading to an internal awakening. October is not a Love Story, but rather a story about love.",Hindi,India,7.5
Mercury,2018,13-Apr-18,"Horror, Sci-Fi, Thriller",Karthik Subbaraj,"Prabhu Deva, Gajaraj, Ramya Nambeeshan","When five friends gather for a high school reunion, they find themselves around a man deform with mercury poisoning.",Tamil,India,6.1
Zoo,2018,28-May-19,"Comedy, Drama, Horror",Antonio Tublen,"Zoë Tapper, Ed Speleers, Antonia Campbell-Hughes",A couple try to save their marriage during a zombie apocalypse.,English,"Denmark, Sweden",5.5
World's Tallest Skyscrapers: Beyond the clouds,2018,19-Jun-18,Documentary,,"Rob Bell, Roma Agrawal, Katherine Tobin",,English,United Kingdom,
Nanu Ki Jaanu,2018,20-Apr-18,"Comedy, Drama, Horror",Faraz Haider,"Abhay Deol, Patralekhaa Paul, Rajesh Sharma","What happens when a crook who bullies others for a living is bullied in his own home? Welcome to Nanu Ki Jaanu - 2018's first madcap horror comedy about a crook dealing with a very singular situation - a ghost in love. Starring Abhay Deol and Patralekhaa in lead roles, expect lots of horror, tons of laughter and dare we say, love? You will not be ready for this roller coaster of emotions.",Hindi,India,5.4
Daas Dev,2018,27-Apr-18,"Drama, Thriller",Sudhir Mishra,"Yogesh Raj Mishra, Rahul Bhat, Richa Chadha","Daas Dev is a 2018 romantic-thriller, with an interesting, modern take on the classic tale of DevDas-Paro-Chandramukhi love triangle, starring Rahul Bhat as Dev, the supremely talented Richa Chadda as Paro, and Aditi Rao Hydari as Chandni.",Hindi,India,5.1
Meri Nimmo,2018,27-Apr-18,Drama,Rahul Shanklya,"Anjali Patil, Karan Dave, Aryan Mishra","The story revolves around Nimmo (Patil), who is soon to be wed. Her only friend, and constant companion is a little boy (Dave) who also has a massive crush on her. While the little boy's innocence prevents him from understanding the complications of marriage, it does not prevent him from trying some wacky ideas to keep his love from marrying someone else.",Hindi,India,7
102 Not Out,2018,04-May-18,"Comedy, Drama",Umesh Shukla,"Amitabh Bachchan, Rishi Kapoor, Vijay Raaz",Dattatraya Vakharia is a 102 year old man living like a youngster.While is 75 year old son Babulal has accepted his old age and lost all excitement in life.Dattatraya wants to break the world record of oldest person living on earth held by Chinese man. But feels that it won't be possible to break the record by living with a boring Babulal.,Hindi,"India, United States",7.4
Omertà,2018,01-May-18,"Short, Drama","Mariam Al Ferjani, Mehdi Hamnane","Aïsha Ben Miled, Farès Landoulsi, Montassar Ayari","Donia, her brother Yahya, Ali and Ibrahim are celebrating Donia's last night in Tunis before she leaves to study in France. They end up on a beach smoking joints. When they wake up at dawn, Yahya disappeared.",Arabic,"Tunisia, France",8.4
Raazi,2018,11-May-18,"Action, Drama, Thriller",Meghna Gulzar,"Alia Bhatt, Vicky Kaushal, Rajit Kapoor","Hidayat Khan is the son of an Indian freedom fighter and agent posing as an informant for the Pakistani government. He wishes to make his 20-year-old daughter Sehmat an agent and continue the family tradition of being in service to the country. Sehmat leaves college. She is hastily trained by senior RAW officer Khalid Mir. Her father uses his friendship with Brigadier Syed of the Pakistan Army to get Sehmat married to his son, Iqbal Syed, a military officer. Sehmat quickly settles into her married life, she falls in love with Iqbal. But everything starts to complicated.",Hindi,India,7.7
Hope Aur Hum,2018,11-May-18,"Comedy, Drama, Family",Sudip Bandyopadhyay,"Naseeruddin Shah, Kabir Sajid Shaikh, Virti Vaghani","A father obsessed with an old school copying machine wreaks havoc on the family, causing a change in their relationships. Explores the life of each family member and how their lives are intertwined with each other.",Hindi,India,6.3
Falooda,2018,18-May-18,Comedy,Dheeraj Singh,"Muntazir Ahmad, Azhar, Goonj Chand","Ajay, a delivery boy is happily married with his two wives, Sheetal who lives in Andheri and Riya who lives in Goregaon. His life goes smoothly until he gets involved in an incident, which catches the eye of inspector K.K. Singh who suspects him to be a member of an underworld gang. Fearing that his marital secret will be revealed, if he is caught by the police, Ajay with the help of his trusted friend Pappu shuffles between Andheri and Goregoan and a series of comedic events ensues.",Indian Sign ,India,3.3
High Jack,2018,18-May-18,Comedy,Akarsh Khurana,"Sumeet Vyas, Mantra Mugdh, Sonnalli Seygall","Rakesh, an out of luck DJ, has just found out that the gig he was to perform in Goa, has been canceled. He is in urgent requirement of money to save his Dad's clinic and in that desperation, partly agrees to carry a packet on his return flight to Delhi. He doesn't realise what's in the packet and the consequences. A bunch of devastated employees of an airline that is shutting down, decide to hijack it's last flight in a bid to recover some dues and to punish their employer. It's the same flight as DJ Rakesh's. With them are flying a bunch of interesting and some weird passengers. Things take a funny turn when people on the flight accidentally get high on the dope including the high jackers. As the plane loses it's direction, the fliers behave out of their minds, the flight turns into one big party...high in the sky.",Hindi,India,5.2
Khajoor Pe Atke,2018,18-May-18,Comedy,Harsh Chhaya,"Vinay Pathak, Suneeta Sengupta, Alka Amin","Hilarity ensues when a member of the Sharma family tethers between life and death as his relatives from across the country set up camp in Mumbai waiting for the inevitable that seems to have been delayed, indefinitely.",Hindi,India,5.8
Parmanu: The Story of Pokhran,2018,25-May-18,"Action, Drama, History",Abhishek Sharma,"John Abraham, Boman Irani, Diana Penty","Captain Ashwat Raina's efforts to turn India into a nuclear state are at first met with criticism and then years later, with an offer from the government. With the help of Himanshu Shukla, the Prime Minister's principal secretary, he leads a team to conduct a second nuclear test series. The only major threat lurking is the American Lacrosse satellite which caught the first test preparations, further causing America to warn India about such future tests. With their patriotic hearts and unbreakable spirits, Ashwat and his team race against time to conduct the tests confidentially while the country's worsening political scenario as well as the presence of spies from US and Pakistan puts them into both mental as well as physical challenges.",Hindi,India,7.6
Bioscopewala,2018,24-Apr-18,"Short, Drama",Nozzer Pardiwala,"Shahaan Pardiwala, Shahen Pardiwala, Pratik Suratwala","A metaphorical reference to the film world, Bioscopewala traces the journey of a young Indie film-maker, as he travels with his film to its audience to finally realize the true meaning of his dreams.",English,India,
Veere Di Wedding,2018,01-Jun-18,Comedy,Shashanka Ghosh,"Kareena Kapoor, Sonam Kapoor, Swara Bhasker","Kalandi, Sakshi, Avni, and Meera are childhood friends. When Kalandi is about to get married, the others leave everything and get together to make her wedding happen. But things go wrong and Kalandi breaks up with her fiance after the engagement celebration, and the friends plan a holiday during which they will rediscover their lives.",Hindi,India,3.3
Bhavesh Joshi Superhero,2018,01-Jun-18,"Action, Crime, Drama",Vikramaditya Motwane,"Harshvardhan Kapoor, Priyanshu Painyuli, Ashish Verma","Bhavesh Joshi Superhero is an action film about a young man who wants to continue doing the right and challenge the wrong. And on this journey, he discovers that he's destined to do bigger things, which will transform him from a common man into a superhero.",Hindi,India,7.6
Phamous,2018,01-Jun-18,"Comedy, Crime, Drama",Karan Butani,"Jimmy Shergill, Shriya Saran, Kay Kay Menon","Set in the wild wild east, the story of Phamous invites you on an odyssey that hits your heart and face at the same time. Find love, power and wisdom amidst guns and dhakkad's. In a clash of ambition, love and hope, this story shows the rise of the unique duo of Kadak Singh and Ram Vijay Tripathi against the patriarch Shambhu all tied up in a saga by an innocent boy. Politics and Power come against Love and Revenge exposing the hollow darkness of human nature. How the most powerful people fall for the clumsiest human emotions and are willing to tear down the world around them, making it very difficult for loyalty, love and hope to exist. Will it survive? Starring Kay Kay, Pankaj Tripathi, Jackie Shroff and Jimmy Sheirgill along with Shriya Saran, the characters welcome you to the land of bandook for the war, is on.",Hindi,India,3.9
Race 3,2018,15-Jun-18,"Action, Crime, Thriller",Remo D'Souza,"Anil Kapoor, Salman Khan, Bobby Deol",Text: 25 years ago arms dealer Shamsher Singh shifted to Al Shifa island with his family .When he was accused of doing illegal business of arms by government of India.He has a business rival Rana who has attacked him many a times.But his nephew Sikander always came to his rescue who is also closest person to him and further who can take over his business.Twins Sanjana and Suraj kids of Shamsher don't go well with Sikander.Shamesher has a dream to go back to India and Sikander is his only hope.Apart from twin cousin's Sikander will have to face betrayal from trusted aide Yash and Jessica his loves who is not who she claims to be.,Hindi,India,1.9
Lust Stories,2018,15-Jun-18,"Drama, Romance","Zoya Akhtar, Dibakar Banerjee, Karan Johar","Kiara Advani, Vicky Kaushal, Bhumi Pednekar","Four short films by four of India's biggest directors exploring love, sex and relationships in modern India.","Hindi, English",India,6.4
Sanju,2018,29-Jun-18,"Biography, Comedy, Drama",Rajkumar Hirani,"Ranbir Kapoor, Paresh Rawal, Manisha Koirala","Few lives in our time are as dramatic and enigmatic as the saga of Sanjay Dutt. Coming from a family of cinema legends, he himself became a film star, then saw dizzying heights and darkest depths: adulation of die-hard fans, unending battles with various addictions, brushes with the underworld, prison terms, loss of loved ones, and the haunting speculation that he might be a terrorist. Sanju is in turns a hilarious and heartbreaking exploration of one man's battle against his own wild self and the formidable external forces trying to crush him. It depicts the journey of a man through everything that life can throw at him. Some true stories leave you thinking ""did this really happen?"" This is one such unbelievable story that happens to be true.",Hindi,India,7.6
Hanuman vs. Mahiravana,2018,06-Jul-18,Animation,Ezhil Vendan,Rajesh Jolly,"The quest to rescue princess Sita is coming to an end as Rama and his army of monkeys make their final push for victory against the demon king Ravana of Lanka. In the ensuing battle, Rama defeats and disarms Ravana but magnanimously spares his life. That night, Ravana unleashes his most powerful ally; his brother Mahiravana, a dark and powerful sorcerer who rules over the Underworld. Mahiravana's shadow casts a blanket of deception over Rama's army and the unseen enemy captures Rama and Lakshmana. Mahiravana intends to kill the two princes at day break to fulfill a prophecy that will make him invincible. Can Rama's friend Hanuman save them before it is too late?",Hindi,India,7
Soorma,2018,13-Jul-18,"Biography, Drama, Sport",Shaad Ali,"Diljit Dosanjh, Taapsee Pannu, Angad Bedi","This is an inspiring true story of the triumph of the human spirit, about a player who faced a near death experience when he was at his peak but emerged victorious by his sheer determination, hard work and unrelenting passion for the sport. Sandeep Singh, a penalty corner specialist in the Indian Hockey team from Shahbad, Haryana made headlines when he was hit in the spine by an accidental gunshot while travelling on a train to join the national team that was to fly to Germany for the World Cup in 2006. The injury left him paralyzed, with the medical community giving him a slim chance of ever walking again. However, not only did Sandeep recover from it but he also made a comeback and re-established himself as the best drag-flicker, going on to captain the Indian national hockey team in January 2009.",Hindi,India,7.3
When Obama Loved Osama,2018,27-Jul-18,Comedy,Sudhish Kumar Sharma,"Amrita Acharya, Muntazir Ahmad, Jeeshan Ali","Two youngsters, Maggi Obama and Aman Osama, who come from different communal backgrounds are in love with each other. Will their love overcome the religious differences and will they be united?",Hindi,India,4.9
Dhadak,2018,20-Jul-18,"Drama, Romance",Shashank Khaitan,"Janhvi Kapoor, Ishaan Khatter, Ashutosh Rana","From the moment they set eyes on each other, Madhukar and Parthavi felt something familiar, something pure, but as their love blossomed, so did their problems. Torn between society and their families, their fate became uncertain. DHADAK is a simple, passionate story about first love.",Hindi,India,4.6
Saheb Biwi Aur Gangster 3,2018,27-Jul-18,"Action, Crime, Drama",Tigmanshu Dhulia,"Sanjay Dutt, Jimmy Shergill, Mahie Gill","Madhvi Devi now turned to politics is enjoying her power and position in royal house after Aditya Pratap Singh lands in jail while his second wife Ranjana has turned alcoholic.Aditya Pratap is soon to be released from jail and Madhvi feels this could harm her position as both are still hungry for each others power and blood.Madhvi finds she is pregnant after she spends night with Aditya upon his return they both decide to raise the baby by forgetting their bygones.London based Uday Pratap Singh has his roots in India where he is having tiff with his father Maharaja Hari Singh and brother Vijay while his only support is his mother Yashododhra.Uday has Suhani as his keep in India while has an estranged relationship with his London based family,he returns to India and meets Madhvi while they had earlier bumped in London.Madhvi still hungry for power and wanting to eliminate Aditya Pratap convinces Uday to kill her husband but Uday is not aware that he is entering into world of lies and betrayal.",Hindi,India,4.4
Nawabzaade,2018,27-Jul-18,"Comedy, Romance",Jayesh Pradhan,"Dharmesh Yelande, Punit Pathak, Raghav Juyal","Three best friends fall in love with a simple, stay-at-home girl from their neighbourhood. As they all go out of their way to win her love, they are pitted against each other in their efforts.",Hindi,India,4.2
Fanney Khan,2018,03-Aug-18,"Comedy, Drama, Music",Atul Manjrekar,"Aishwarya Rai Bachchan, Anil Kapoor, Rajkummar Rao",Prashant Kumar an orchestra singer of 90s known as Fanney Khan is fan of Mohdmmad Rafi.But could never make it to the music world.When his daughter is born he names her Lata after Lata Mageshkar and promises to make her big singer.Many years later Lata aspires to be a singer but is criticized for her weight.Prashant now works in a small factory which shuts its operation and he feels his dreams of making Lata a singer will be shattered.Prashant takes up to driving taxi secretly.Baby Singh a well known singer sits in his car.Prashant kidnaps her keeps her and takes to his factory where he is supported by his friend Adir.They both call Baby's manager Karan Kakkad and ask him for ransom.,,India,4.5
Mulk,2018,03-Aug-18,Drama,Anubhav Sinha,"Taapsee Pannu, Rishi Kapoor, Prateik Patil Babbar",One family member tries to help her own family when they are trapped in a dark controversy.,Hindi,India,7.2
Karwaan,2018,03-Aug-18,"Adventure, Comedy, Drama",Akarsh Khurana,"Irrfan Khan, Dulquer Salmaan, Mithila Palkar","The movie depicts a journey carried out from Bangalore to Kochi by two friends, the reserved Avinash played by Dulquer Salmaan, and his friend Shaukat played by Irrfan Khan with a lighter take on life, who pick up the chirpy teenager Mithila on the way.","Hindi, Malayalam",India,7.6
Gold,2018,15-Aug-18,"Drama, History, Sport",Reema Kagti,"Krishan Tandon, Hubertus Geller, Siddharth Kher",Tapan Das manager of Gold winning Indian hockey team during British rule dreams of bringing Gold medal to the country post Independence.India is nearing Independence and Tapan finds news of 1948 Olympics. Tapan prepares his own team for the upcoming Olympics.But during the partition team also gets divided along with the country.,Hindi,India,7.3
Satyameva Jayate,2018,15-Aug-18,"Action, Crime, Drama",Milap Zaveri,"John Abraham, Manoj Bajpayee, Aisha Sharma","There are about 2 Lakh policemen in Mumbai. Tasked with the safety of this enormous city, a majority of them don't necessarily have the ""cleanest"" of vardis. When four such police inspectors are burnt alive in a series of merciless killings, the entire police force is rocked with terror. The media is looking for answers. The public is on the fence over these killings. These crimes reflect Vir as a person. Bold, Calculating, and Unapologetic. He's not scared of killing, or dying. It was clear that he had an agenda. A reason. A drive; behind these deaths and he was far from done. Fearing the next attack, the Commissioner calls upon their best bet to catch Vir. DCP Shivansh is what a proper policeman looks like. Strong, Courageous, Patriotic and most importantly, ""Clean."" And of course, he's the best at what he does. What follows is a succession of events that will test his Probity to the fullest. He is up against Vir, who is a vigilante and will stop at nothing to complete his mission. This confrontation of epic proportions will take us through the corrupt underbelly of the Financial Capital. Vir and Shivansh are against the same enemy, but they are divided by a fine line. The Law. Shivansh is the ""good-guy"" protector of the law, whereas Vir wants to take matters into his own hands, disregarding the law. Were these meticulously planned murders just vengeance killings? Or was there order in this chaos? There's a lot at stake. Along with the lives of numerous policemen, the public's faith in the police's capability to keep them safe is also at stake. Will Vir be successful in concluding his twisted message? Or will Shivansh's Integrity and Ethicality become his biggest strength and Vir's biggest weakness?",Hindi,India,5.7
Genius,2018,24-Aug-18,"Action, Thriller",Anil Sharma,"Utkarsh Sharma, Ishita Chauhan, Mithun Chakraborty","An orphan, with a brilliant mind, joins RAW and is burdened by the killing of his entire team. Until he doesn't avenge their death, he can't live in peace with his love. So, he hatches a genius plan.","Hindi, English",India,5.1
Happy Phirr Bhag Jayegi,2018,24-Aug-18,Comedy,Mudassar Aziz,"Sonakshi Sinha, Diana Penty, Jimmy Shergill","When Professor Harpreet Kaur lands in Shanghai, the last thing she would have on her mind is getting kidnapped. A crazy comedy of errors unrolls as the 'Happy' gang - Bagga, Guddu, Happy and Usmaan Miyaan - navigate through China while Harpreet, aka Happy is caught in the crosshairs.",Hindi,India,4.5
Toba Tek Singh,2018,24-Aug-18,"Drama, History",Ketan Mehta,"Pankaj Kapur, Vinay Pathak, N.K. Pant",Toba Tek Singh is a story about the aftershocks of the partition between India and Pakistan. The story is written by Saadat Hassan Manto.,"Hindi, Punjabi",India,6.8
Yamla Pagla Deewana Phir Se...,2018,31-Aug-18,"Action, Comedy, Drama",Navaniat Singh,"Dharmendra, Sunny Deol, Bobby Deol","Inheriting from the ancestors, the legacy of the Ayurveda panacea 'Vajrakavach', a famed and effective remedy for all ills, the brother duo Pooran and Kaala use the kavach with varied intentions. While Pooran who is good-hearted puts in use his heritage to help people, Kaala looks out for his interest in money. Parmar, an erstwhile Casanova and a colorful character who is also a sharp and intelligent lawyer of repute, is the paying guest in the brothers' house. He is a thorn in Kaala's side, as he is paying the same rent for 35 years, that is of 125 rupees. Adding to the Punjabi mix, Chikoo is a pretty Gujarati girl, who steals Kaala's heart and brings a sinister twist to the tale.",Hindi,India,4.4
Stree,2018,31-Aug-18,"Comedy, Horror",Amar Kaushik,"Rajkummar Rao, Shraddha Kapoor, Pankaj Tripathi",Chanderi village is haunted for years by a witch whose called as Stree. She abducts men in dark leaving their clothes behind during the four day annual festival. Vicky young and handsome village tailor disbelief's these stories. He meets an Unnamed women whose in the village every year during the festival. Vicky and the women start getting close to each other. But his friends Jaana and Bitu get suspicious that till date only Vicky has seen the women and believe that she could be Stree.,Hindi,India,7.5
Once Again,2018,01-Sep-18,"Drama, Romance",Kanwal Sethi,"Shefali Shah, Neeraj Kabi, Bidita Bag","Amar is an aging film star. A famous and wealthy man, he lives alone in Mumbai, a city of 15 million souls, the city of dreams. Tara, a widow, runs a small restaurant with the help of her son, who delivers Amar's meals. Tara has never seen Amar - except on the big screen. What began by pure chance a year ago has now turned into a ritual: for hours on end they talk to each other on the phone. Until one day, when Amar sets out to meet Tara in the flesh.",Hindi,"India, Germany, Austria",6.9
Paltan,2018,07-Sep-18,"Action, Drama, History",J.P. Dutta,"Jackie Shroff, Arjun Rampal, Sonu Sood",An action-war drama based on the 1967 Nathu La and Cho La clashes along the Sikkim border after 1962 Sino-Indian War.,Hindi,India,5.2
Laila Majnu,2018,07-Sep-18,"Drama, Romance",Sajid Ali,"Avinash Tiwary, Triptii Dimri, Sumit Kaul","Taking the leap out of the classic folklore, the story is set in today's time in Kashmir where Laila Majnu have problems relevant to the youth of today. While dealing with their feuding families a passionate love story unravels.",Hindi,India,7.7
Halkaa,2018,07-Sep-18,"Drama, Family","Nila Madhab Panda, Inderjeet Singh","Ranvir Shorey, Paoli Dam, Kumud Mishra","Halkaa is a story of an eight-year-old boy Pichku who lives in the oldest slums of Delhi and aspires for a better life. It is a story of a child who against all odds strives to achieve his goal and becomes a hero in the making for his parents, slum, and society. This is the maiden production of Shiv Nadar Foundation in association with Akshay Kumar Parija and Nila Madhab Panda and Supratik Roy is the associate producer.",Hindi,India,7.5
Love Sonia,2018,14-Sep-18,Drama,Tabrez Noorani,"Abhishek Bharate, Riya Sisodiya, Mrunal Thakur","Inspired by real life events, Love Sonia is the story of a young girl's journey to rescue her sister from the dangerous world of international sex trafficking.","Hindi, English",India,7.4
Mitron,2018,14-Sep-18,Comedy,Nitin Kakkar,"Jackky Bhagnani, Kritika Kamra, Prateik Patil Babbar","Jai ""Jackky Bhagnani"", born and brought up with middle-class values, has a 'take it easy' approach to life. Since he doesn't believe in a herd mentality, he and his two best friends, Raunak ""Pratik Gandhi"" and Deepu ""Shivam Parekh"" start looking for unique ways to make it big in the world. During this trial and error phase, Jai realizes his dream. But his decision of choosing an unprofitable career path doesn't go down too well with his father ""Neeraj Sood"", who has bigger aspirations for him. Therefore, in order to bring stability to his life, his father decides to get him married. Destiny, however, has something else in store for Jai, when he accidentally meets Avni ""Kritika Kamra"", an ambitious, MBA graduate, who wants to start her own business. Set in the backdrop of the Gujarati milieu, the film traces Jai and Avni's personal journey, as they both find themselves and discover the true meaning of friendship in the bargain",Hindi,India,6.9
Batti Gul Meter Chalu,2018,21-Sep-18,Drama,Shree Narayan Singh,"Shahid Kapoor, Shraddha Kapoor, Divyendu Sharma","S.K, Nauti, and Tripathi are childhood friends. S.K is a hypocrite, mean lawyer making money from out of court settlements. Nauti is an over the top fashion designer who thinks highly of herself. Things were breezy until Tripathi opens a small town Printing Press. Within months, he is charged with an Inflated electricity bill of 1.5 Lakhs, which escalates to 54 Lakhs in the following months. With no where to go and complain, Tripathi commits suicide. S.K is set aback by the events and has a change of heart. He decides to fight out against SPTL , a Privatised Electricity Company responsible for the Inflated Bills. He has Advocate Gulnaar representing SPTL as his opponent.. Whether or not he is able to sue the company forms the rest of the story.",Hindi,India,5.9
Manto,2018,21-Sep-18,"Biography, Drama",Nandita Das,"Nawazuddin Siddiqui, Rasika Dugal, Tahir Raj Bhasin",The film is a biographical account of writer Saadat Hasan Manto's life and is set in 1940s India.,"Hindi, Urdu","India, France, United States",7.3
Ishqeria,2018,21-Sep-18,"Comedy, Romance",Prerna Wadhawan,"Manish Anand, Raj Babbar, Richa Chadha","When Kuhoo, a small town girl from an all girls school joins a hip co-ed university, a true behenji, who thinks herself as the queen of fashion, sees Raghav for the first time, she knows she's going to marry him and have his kids!. The problem? He doesn't seem to even see her!. Her gang of girlfriends plot to make Raghav fall madly in love with Kuhoo. What ensues is hilarious attempts at wooing, getting a behenji to turn mod and a love story that will make you relive your college days.",Hindi,India,4
Sui Dhaaga: Made in India,2018,28-Sep-18,"Comedy, Drama",Sharat Katariya,"Varun Dhawan, Anushka Sharma, Raghubir Yadav","A heartwarming story of pride and self reliance, which finds its roots in the heart of India and reflects the passion that runs through the veins of every single Indian. Taking the message of ""Made in India"" forward, the film modestly tries to bring back our traditional art forms and handicrafts in focus. The film is helmed by National award winning Producer - Director Duo of Maneesh Sharma and Sharat Katariya ""Dum Laga Ke Haisha"" and features Varun Dhawan and Anushka Sharma in the lead roles. Through the hero and his wife, film talks about the need of social entrepreneurship as a tool for social and economic development of our artisans, living their life in the margins due to the changing times. Set in a small town in India, the film encapsulates the journey of an honest man from a humble background, who pursues his passion, overcoming all odds and soon finds himself on the cover of an international magazine with the world taking note and appreciating his talent. A clean family entertainer, the film emphasizes virtues like honesty, self respect and community living.",Hindi,India,6.8
Pataakha,2018,28-Sep-18,"Action, Comedy, Drama",Vishal Bhardwaj,"Sanya Malhotra, Radhika Madan, Sunil Grover","Based on Charan Singh Pathik's short story Do Behnein, Pataakha narrates the story of two feuding sisters who realize the true nature of their relationship only after marriage ""separates"" them.","Hindi, Rajasthani",India,7.2
Loveyatri: Akh Lad Jaave,2018,22-Aug-18,"Short, Music",Abhiraj Minawala,"Badshah, Warina Hussain, Asees Kaur, Jubin Nautiyal","Song ""Akh Lad Jaave"" is from the film Loveyatri, sung by Badshah, Asees Kaur, Jubin Nautiyal. Music is composed by Tanishk Bagchi. Lyrics are written by Tanishk Bagchi And Badshah.",Hindi,India,4
Andhadhun,2018,05-Oct-18,"Crime, Mystery, Thriller",Sriram Raghavan,"Tabu, Ayushmann Khurrana, Radhika Apte",Akash a blind pianist is preparing for a London concert.Sophie's scooter bumps into Akash and upon finding he a pianist she takes him to her restaurant Franco's run by her father and offers him a job.Akash meets 70s actor Pramod Sinha at the restaurant who asks him to do a private concert of his songs at his residence to surprise his wife Simi. Next Day upon reaching his house a shocking surprise is waiting for Akash.,"Hindi, English",India,8.2
Jalebi,2018,12-Oct-18,"Drama, Romance","Pushpdeep Bhardwaj, Lal Mohan","Rhea Chakraborty, Varun Mitra, Digangana Suryavanshi",A woman boards an overnight train and gets placed in a compartment with her former lover and his wife.,Hindi,India,6.1
Helicopter Eela,2018,12-Oct-18,Drama,Pradeep Sarkar,"Kajol, Riddhi Sen, Tota Roy Chowdhury","Eela is an aspiring playback singer and single mother. She has given up all her dreams to raise her only son. But now her baby son 'Vivan' is all grown up and being a typical young millennial, doesn't want his mother's life to revolve around him. But being an over protective mother, Eela has other ideas and joins her son's college to spend more time with him. Unfortunately her plans backfire and she suffers a backlash from Vivan for invading his privacy. Will Helicopter Eela manage to salvage her relationship with Vivan and find her calling again?",Hindi,India,5.5
FryDay,2018,12-Oct-18,"Comedy, Drama",Abhishek Dogra,"Govinda, Digangana Suryavanshi, Varun Sharma","Rajiv, a struggling water purifier salesman, after a long chase, is able to bag a client Gagan Kapoor and fix him for an appointment on a Friday. However, he finds himself caught up in a tricky situation when he arrives at Kapoor's house and catches Kapoor cheating on his wife Bela with another woman Bindu.",Hindi,India,5.3
Tumbbad,2018,12-Oct-18,"Drama, Fantasy, Horror","Rahi Anil Barve, Anand Gandhi, Adesh Prasad","Sohum Shah, Jyoti Malshe, Anita Date-Kelkar","Set in Tumbbad in the 1920s, the story revolves around the three generations of a family facing the consequences when they build a temple for the first-born of a goddess, named Hastar--he who must not be worshiped. Hastar is a terrible entity who can curse a person yet also can grant gold coins. And the story put emphasis on human nature and the never ending greed. The myth of Hastar is, when the Goddess of Prosperity created the world she gave birth to Hastar followed by 16 Crore Gods and Goddesses. Hastar being her first born was her favorite child, but Hastar was very greedy. When the Goddess of Prosperity offered Hastar the ownership of all the gold in the universe or all the food, he took the gold as well as tried to take over the food in his greed fighting with his brothers and sisters. The 16 crore gods and goddesses overpowered Hastar and when they tried to kill him, the Goddess of Prosperity intervened and begged for his life. The 16 crore gods and goddesses accepted her request on one condition, that Hastar will never be mentioned in the Puranas nor he should be ever worshiped.","Hindi, Marathi","India, Sweden",8.2
Namaste England,2018,19-Oct-18,"Comedy, Drama, Romance",Vipul Amrutlal Shah,"Arjun Kapoor, Parineeti Chopra, Satish Kaushik","An Indian couple go to great lengths to move to London, England.",Hindi,India,2.1
Badhaai Ho,2018,19-Oct-18,"Comedy, Drama",Amit Ravindernath Sharma,"Ayushmann Khurrana, Neena Gupta, Gajraj Rao","Nakul a 25 year old in relationship with Renne and soon plan to marry .His father Jeetender Kaushik works for railways while mother Priyamvada is housewife whose always taunted by his grandmother.When Nakul finds that his mother is pregnant at the age when Nakul is about to marry he starts to avoid their parents ,friends and society.",Hindi,India,7.9
Baazaar,2018,26-Oct-18,"Crime, Drama, Thriller","Gauravv K. Chawla, Samuel Wilde","Saif Ali Khan, Radhika Apte, Chitrangda Singh","After moving to Mumbai, an ambitious young man becomes the stock trader for a notorious businessman.","Hindi, French","India, Canada",6.5
5 Weddings,2018,26-Oct-18,"Comedy, Drama, Romance",Namrata Singh Gujral,"Nargis Fakhri, Rajkummar Rao, Bo Derek","An American journalist travels to India for what she thinks will be an easy magazine feature on Bollywood weddings, only to have the assignment interrupted by a cop, who is convinced there is journalistic espionage behind the innocent magazine article. As the coverage of Bollywood weddings unfolds, so does a colorful mosaic of lost loves, transgender tangles and culture clashes along the heartfelt journey of life, symbolized by the universal ups and downs of a wedding celebration.",English,"United States, India, Canada",3.6
